Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,Wave,2005,25700,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.900.000 đ
Yamaha,Exciter,2017,18200,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18.000.000 đ
Yamaha,Exciter,2016,27,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.500.000 đ
Honda,Winner X,2021,24536,Đã sử dụng,Xe số,Trên 175 cc,Đang cập nhật,Bảo hành hãng,22.500.000 đ
Honda,Wave,1999,6868,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.000.000 đ
Yamaha,Exciter,2018,9000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.000.000 đ
Honda,PCX,2018,13000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.000.000 đ
Honda,Dream,1999,42500,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,24.000.000 đ
Honda,SH,2022,3000,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,Bảo hành hãng,118.000.000 đ
Honda,SH,2012,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,58.800.000 đ
SYM,Husky,2022,2798,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18.600.000 đ
Honda,67,1994,100000,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Đang cập nhật,Bảo hành hãng,18.000.000 đ
Honda,Air Blade,2017,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,26.000.000 đ
Yamaha,Nvx,2022,2100,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.800.000 đ
Benelli,TNT,2021,3200,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,26.500.000 đ
Honda,SH,2020,2500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,62.000.000 đ
Triumph,Street Scramber,2020,1333,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,400.000.000 đ
Honda,Wave,2012,30000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.500.000 đ
Honda,Air Blade,2018,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28.500.000 đ
Yamaha,Mio,2012,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.900.000 đ
Yamaha,Taurus,2009,56789,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.700.000 đ
Honda,Sonic,2020,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,30.000.000 đ
Honda,67,2019,80000,Đã sử dụng,Xe số,Không biết rõ,Đang cập nhật,Bảo hành hãng,15.000.000 đ
Honda,Wave,2004,40000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.800.000 đ
Yamaha,R,2018,3500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.500.000 đ
Honda,MSX 125,2015,12345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.800.000 đ
Hãng khác,Dòng khác,2007,35000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2.800.000 đ
Yamaha,Exciter,2016,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.800.000 đ
Triumph,Street Twin,2019,32000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,265.000.000 đ
Honda,Cub,1981,1000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,11.000.000 đ
SYM,Elizabeth,2010,13579,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,4.500.000 đ
Suzuki,Sport / Xipo,2000,100000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.500.000 đ
Honda,SH,2009,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,78.000.000 đ
Yamaha,Nozza,2014,8000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.400.000 đ
Honda,Vision,2018,1,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.800.000 đ
Honda,Winner,2018,50000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22.000.000 đ
Yamaha,Exciter,2011,3900,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32.600.000 đ
Honda,Wave,2007,99999,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.500.000 đ
Honda,Click,2010,8000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.700.000 đ
Piaggio,Liberty,2015,2300,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.600.000 đ
Ducati,Multistrada,2015,21000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,288.000.000 đ
